云中君,调息后可飞行，增加50点移速，普攻变为爪击，发起攻击会冲向目标，每0.25秒额外造成(4%物理攻击)物理伤害，持续5秒。普攻可叠加印记和伤害，印记叠满5层后目标被撕裂，5秒内目标每移动100码，受到40物理伤害，每升1级增加3点。 每次撕裂目标或使用一技能可以对野怪和小兵造成50%的已损生命伤害，上限300点。  战斗状态每0.5秒消耗10点气息，脱战每0.5秒回复25点气息，普攻回复25点息，气息 为0时落到地面，此时普攻射程增加并可以穿透目标。,流云之翼&0|荷鲁斯之眼&0|纤云弄巧&65|时之祈愿&95,闪现/斩杀,40%,90%,30%,40%
瑶,瑶被鹿灵守护着，当被晕眩，击退，击飞等硬控技能击中会立刻解除控制并变成鹿灵，持续4秒（除压制效果以外）每60秒最多触发一次；鹿灵状态将会刷新技能冷却，并且获得无法被攻击但也失去自己攻击别人的能力，灵鹿静怡的灵光会持续照拂敌人减速30%,鹿灵守心&0|森&0|遇见神鹿&71|时之祈愿&94|时之愿境&42,闪现/斩杀,70%,30%,90%,30%
盘古,盘古的斧头具有10点耐久度，每次普攻命中敌方英雄会消耗1点耐久度，消耗完后斧头会破碎变成两只能量臂出现在盘古的身体两侧，切换瞬间盘古无法攻击并不可被选中，每20秒斧头会自动回复1点耐久度，切换形态时会清空1，2技能50%的最大冷却时间。,破晓之神&0|创世神祝&0|重装意志&1,闪现/斩杀,50%,70%,40%,50%
猪八戒,猪八戒损失的生命会以残血形态暂存，暂存期间猪八戒对英雄\非英雄造成伤害40%\20%(计算忽略敌方免伤)的等值残血会转化为真实血量。残血产生7秒后开始以每秒3%最大生命值的速度自动消减。九齿钉耙乃神兵，普攻附带40（+0.5%最大生命加成）点物理伤害。,无忧猛士&0|年年有余&0|西部大镖客&40|猪悟能&89,闪现/斩杀,70%,50%,50%,60%
嫦娥,嫦娥受到月光的守护，以自身法力值产生的护盾抵挡60%伤害，每1点法力抵挡2点伤害；嫦娥的法力值越高造成的伤害越高（最高满蓝提升100%伤害），每1点法术强度会提升嫦娥1.5点最大法力值,寒月公主&0|露花倒影&0|如梦令&68|拒霜思&65,闪现/斩杀,80%,10%,80%,40%
上官婉儿,上官婉儿每第三次普攻将进行强化攻击，会对一条路径上的敌人额外造成300（+40%法术加成）点法术伤害。上官婉儿各个技能的笔墨相互触碰的时候会迸发笔力，对附近敌人造成300（+40%法术加成）点法术伤害（1秒内连续命中伤害衰减50%），上官婉儿触碰笔力恢复150（+20%法术加成）点生命值并激活强化普攻,惊鸿之笔&0|修竹墨客&0|梁祝&53|天狼绘梦者&19,闪现/斩杀,30%,20%,90%,80%
李信,李信逐渐解放力量，普攻与2技能命中英雄能够获得额外10点经验值；狂暴利刃：李信普通攻击会造成两段伤害，第一段造成100%物理加成点物理伤害，第二段造成65～205点物理伤害（随人物等级成长），李信在该形态下会增加30点移速；辉耀利刃：李信释放技能后的下一次普通攻击距离提升并额外造成50%伤害，同时李信的强化普攻或者技能命中敌人将会减少所有技能1秒冷却时间,谋世之战&0|灼热之刃&0|一念神魔&75,闪现/斩杀,60%,60%,60%,50%
沈梦溪,沈梦溪的技能命中敌人后会将其点燃，被点燃的敌人会暴露视野，持续3秒；使用普通攻击命中被点燃的敌人会触发爆炸对附近的敌人造成100（+16%法术加成）点法术伤害。沈梦溪死亡后复活时回复3颗炸弹。,爆弹怪猫&0|棒球奇才&0|鲨炮海盗猫&1|星空之诺&40|月团寄思 &12,闪现/斩杀,30%,10%,80%,40%
伽罗,伽罗的普攻与技能伤害将会优先对目标的护盾效果造成一次等额的伤害,破魔之箭&0|花见巫女&0|箭羽风息&71|太华&67|天狼溯光者&19,闪现/斩杀,20%,90%,40%,20%
盾山,盾山进入防御状态后可抵挡大量子弹技能同时获得30%免伤效果。普攻附带(4%最大生命)物理伤害。 石盾初始拥有450点耐久度，并会受到盾山18%最大生命值的加成，盾山每次举起石盾抵挡 子弹技能的伤害1比1消耗石盾耐久度，盾山每次升级石盾耐久度提升200点。,无尽之盾&0|极冰防御线&0|御銮&48|圆桌骑士&73,闪现/斩杀,100%,30%,40%,30%
